"SEN","11/04/2016","20","256.654","2.928","0.38","3909.593","15414.802","206.819","669.404","7661.323","783.482","5563.274","1169.248"
"SEN","11/04/2016","21","236.069","0.038","0.391","3915.603","15520.199","218.14","669.974","9062.906","783.668","5623.323","1211.624"
"SEN","11/04/2016","22","321.783","0","0.426","3925.845","15484.851","213.814","672.115","9121.878","784.595","5674.246","1230.512"
"SEN","11/04/2016","23","420.373","0","0.527","3924.433","15380.454","211.961","675.066","8314.762","785.31","5703.775","1204.719"
"SEN","11/04/2016","24","451.78","0","0.569","3905.049","15296.671","209.227","676.554","7154.135","786.355","5685.455","1154.216"
"SEN","12/04/2016","1","358.922","0","0.531","3895.425","15232.04","212.79","678.633","5054.867","787.249","5561.841","1150.22"
"SEN","12/04/2016","2","266.232","0","0.434","3902.425","15169.412","214.378","680.131","4063.959","787.701","5407.582","1132.214"
"SEN","12/04/2016","3","217.345","0","0.504","3898.328","15446.8","214.732","680.71","3002.661","788.738","5352.692","1142.977"
"SEN","12/04/2016","4","179.925","0","0.541","3911.689","15486.963","214.224","681.007","2365.778","789.077","5347.252","1147.613"
"SEN","12/04/2016","5","147.092","0","0.6","3878.414","15516.698","206.206","681.974","2332.962","789.958","5328.417","1142.023"
"SEN","12/04/2016","6","143.549","0","0.578","3894.288","15461.017","209.293","681.977","2763.405","790.438","5333.805","1123.199"
"SEN","12/04/2016","7","122.627","0.193","0.454","3893.651","15436.96","214.66","682.707","4005.398","791.025","5416.16","1134.305"
"SEN","12/04/2016","8","108.658","1.849","0.491","3909.764","15468.416","216.722","680.756","4976.084","790.749","5381.475","1122.586"
"SEN","12/04/2016","9","105.959","7.337","0.51","3939.825","15660.297","211.056","676.923","5669.28","790.878","5455.935","1134.463"
"SEN","12/04/2016","10","117.346","18.336","0","4077.29","15718.762","211.457","673.283","6612.29","790.709","5491.815","1136.02"
"SEN","12/04/2016","11","123.844","30.718","0","4162.496","15729.706","212.618","672.455","7349.935","790.37","5480.06","1113.608"
"SEN","12/04/2016","12","204.708","48.129","0","4201.319","15773.119","214.112","672.905","8054.642","789.77","5518.593","1180.886"
"SEN","12/04/2016","13","299.566","57.824","0","4216.446","15594.1","209.52","672.228","8217.488","789.476","5518.153","1305.738"
"SEN","12/04/2016","14","350.448","66.046","0","4223.901","15678.281","214.856","666.827","8133.497","788.299","5539.911","1583.739"
"SEN","12/04/2016","15","403.707","70.748","0","4208.413","15759.982","213.572","644.324","7928.949","787.973","5553.065","1595.935"
"SEN","12/04/2016","16","460.879","69.184","0.351","4219.957","15783.283","215.507","643.252","8243.735","787.748","5577.298","1574.551"
"SEN","12/04/2016","17","434.055","56.997","0.678","4206.133","15773.743","213.563","645.357","7993.874","787.357","5632.365","1593.635"
"SEN","12/04/2016","18","435.016","41.15","0.71","4200.33","15773.561","215.261","645.458","7661.509","786.841","5654.606","1609.156"
"SEN","12/04/2016","19","432.382","17.442","0.574","4184.293","15777.039","214.729","641.194","6614.048","786.497","5682.931","1636.275"
"SEN","12/04/2016","20","291.343","3.855","0.558","4179.282","15830.706","215.176","643.384","6245.925","786.634","5770.81","1701.714"
"SEN","12/04/2016","21","265.31","0.022","0.511","4177.468","15870.743","217.509","646.485","7655.312","786.79","5834.479","1744.415"
"SEN","12/04/2016","22","235.571","0","0.52","4183.118","15749.283","212.506","667.25","7899.667","786.781","5869.51","1734.068"
"SEN","12/04/2016","23","289.885","0","0.471","4195.793","15650.886","213.524","670.317","7194.065","786.865","5941.73","1677.825"
"SEN","12/04/2016","24","248.511","0","0.425","4194.99","15499.437","210.255","673.589","6192.785","786.953","5915.874","1515.498"
"SEN","13/04/2016","1","248.81","0","0.361","4158.466","15559.238","209.419","676.071","4475.156","786.725","5567.568","1282.263"
"SEN","13/04/2016","2","218.62","0","0.323","4215.281","15393.569","205.12","678.07","3456.907","787.049","5408.213","1258.667"
"SEN","13/04/2016","3","156.345","0","0.342","4194.326","15389.86","202.903","678.181","2897.173","787.223","5360.119","1240.766"
"SEN","13/04/2016","4","115.496","0","0.347","4184.418","15313.055","198.001","677.858","2507.066","787.19","5384.431","1240.318"
"SEN","13/04/2016","5","130.536","0","0.303","4158.55","15319.229","195.313","678.192","2443.993","787.471","5375.076","1244.051"
"SEN","13/04/2016","6","111.112","0","0.445","4182.968","15299.81","201.764","679.712","2546.847","787.507","5413.865","1246.176"
"SEN","13/04/2016","7","87.139","0.221","0.437","4198.773","15369.391","206.286","679.911","3594.847","787.449","5495.059","1262.872"
"SEN","13/04/2016","8","65.996","2.001","0","4198.941","15403.741","204.979","677.249","4531.399","787.561","5483.223","1287.375"
"SEN","13/04/2016","9","54.218","9.1","0","4188.749","15530.767","207.466","674.027","5316.95","787.151","5509.699","1302.126"
"SEN","13/04/2016","10","105.083","21.233","0","4190.736","15516.258","208.694","674.424","6248.107","786.478","5539.326","1299.396"
"SEN","13/04/2016","11","130.639","32.667","0","4199.399","15638.416","193.898","669.71","6979.758","785.651","5646.354","1289.395"
"SEN","13/04/2016","12","228.463","48.449","0","4210.304","15754.304","178.735","665.917","7399.727","784.896","5658.594","1336.28"
"SEN","13/04/2016","13","356.741","59.126","0","4197.089","15734.734","178.88","669.228","7591.109","784.586","5661.231","1342.677"
"SEN","13/04/2016","14","448.757","68.074","0","4221.933","15732.488","177.368","667.888","7711.663","785.072","5726.185","1359.07"
"SEN","13/04/2016","15","554.417","72.089","0","4169.93","15717.103","177.228","667.187","7535.603","784.194","5736.216","1644.33"
"SEN","13/04/2016","16","708.702","71.878","0.471","4144.183","15713.382","185.239","664.329","7481.218","783.759","5765.001","1684.833"
"SEN","13/04/2016","17","702.553","60.01","0.331","4212.493","15676.847","184.288","684.746","7612.689","783.795","5747.629","1596.509"
"SEN","13/04/2016","18","590.839","41.641","0.356","4222.888","15751.277","183.992","687.035","7088.186","783.224","5792.818","1596.576"
"SEN","13/04/2016","19","431.667","18.604","0.354","4222.124","15545.477","190.667","693.676","6669.524","783.615","5809.016","1607.583"
"SEN","13/04/2016","20","219.073","4.018","0.353","4217.509","15353.833","201.137","694.015","6570.213","783.839","5950.325","1699.746"
"SEN","13/04/2016","21","193.59","0.038","0.271","4210.669","15519.66","211.605","693.674","7691.425","784.484","6017.502","1717.123"
"SEN","13/04/2016","22","124.694","0","0.487","4230.071","15619.091","210.831","697.25","7807.998","784.337","6034.344","1704.266"
"SEN","13/04/2016","23","86.443","0","0.324","4234.578","15644.252","207.644","699.577","7175.656","783.636","6074.68","1679.016"
"SEN","13/04/2016","24","119.025","0","0.353","4234.412","15528.434","199.627","701.074","6037.777","783.628","5998.263","1521.241"
"SEN","14/04/2016","1","144.752","0","0.281","4222.913","15525.506","197.718","700.195","4328.909","783.973","6061.588","1137.581"
"SEN","14/04/2016","2","105.19","0","0.376","4053.452","15486.495","194.759","701.275","3191.662","784.473","6005.921","1138.203"
"SEN","14/04/2016","3","79.963","0","0.435","3910.546","15563.939","194.413","703.231","2525.406","784.694","5991.461","1144.546"
"SEN","14/04/2016","4","96.829","0","0.366","3918.216","15410.817","193.106","702.655","2278.899","784.779","5969.088","1143.439"
"SEN","14/04/2016","5","124.732","0","0.31","3931.823","15619.083","191.961","703.975","1946.877","785.125","5972.847","1146.128"
"SEN","14/04/2016","6","152.632","0","0.288","3940.73","15815.137","195.757","704.676","1980.718","785.48","5977.707","1148.441"
"SEN","14/04/2016","7","150.153","0.238","0.335","3946.275","15840.486","202.317","705.089","3390.634","785.319","6010.04","1155.141"
"SEN","14/04/2016","8","208.47","2.209","0.793","3981.749","15893.299","201.22","703.767","4023.905","785.343","5979.888","1166.221"
"SEN","14/04/2016","9","292.83","13.816","0.092","4093.331","16076.272","207.037","704.486","4567.05","785.507","6026.094","1166.771"
"SEN","14/04/2016","10","484.328","33.017","0","4201.532","16235.016","209.512","701.778","5170.733","785.801","5918.488","1164.67"
"SEN","14/04/2016","11","738.436","50.792","0","4171.395","16354.437","206.705","699.294","5848.032","785.408","5893.677","1154.317"
"SEN","14/04/2016","12","838.311","64.222","0","4208.224","16198.033","206.033","699.065","6776.836","786.034","5805.235","1153.018"
"SEN","14/04/2016","13","755.824","62.555","0","4241.955","15949.738","196.13","696.299","7625.588","785.533","5611.267","1146.999"
"SEN","14/04/2016","14","717.279","71.032","0","4240.142","15950.533","170.159","696.946","7765.88","785.362","5648.083","1172.974"
