"SEN","07/03/2026","16","2126.7992","5974.3352","26.2905","1306.6525","20876.8668","257.1325","342.4643","2862.8465","1530.2507","2856.5661","1295.8366"
"SEN","07/03/2026","17","2655.3525","5113.5971","19.3732","1305.8627","21805.5445","257.2494","342.5047","2928.9791","1530.798","2919.4082","1464.2981"
"SEN","07/03/2026","18","2657.6109","3436.2139","16.2759","1289.2186","23125.6813","280.1818","341.5986","3599.4206","1530.8527","2939.8808","1680.4548"
"SEN","07/03/2026","19","2626.7735","758.54","16.3302","1316.8517","24609.5242","287.3997","341.4842","4942.3107","1529.8734","3053.1986","2190.085"
"SEN","07/03/2026","20","2549.721","46.8181","17.2942","1432.3025","25545.5626","290.9207","342.6824","5630.7931","1529.2634","3465.3623","2265.5474"
"SEN","07/03/2026","21","2572.9509","26.1053","16.9115","1473.3901","25522.8942","282.2392","341.6764","5310.0559","1528.3492","3565.7496","2209.0581"
"SEN","07/03/2026","22","2727.6399","11.5283","21.9088","1272.9674","24975.2564","284.3604","341.3654","4949.7629","1526.6492","3578.0141","2111.9583"
"SEN","07/03/2026","23","2609.9661","7.0993","23.2896","1212.799","24794.5049","285.5786","339.7264","4041.3321","1525.8206","3502.6857","2107.0011"
"SEN","07/03/2026","24","2265.8104","6.0433","24.85","1215.2383","24729.0262","286.0314","342.7226","2786.6008","1525.1475","3503.9485","2056.8433"
"SEN","08/03/2026","1","1924.7585","0.769","24.729","1215.261","24509.7466","288.2227","342.3491","2256.8113","1524.7075","3454.1783","1390.0476"
"SEN","08/03/2026","2","1837.8375","4.056","24.1467","1206.6821","24121.3019","282.8207","338.6195","1771.5581","1525.5663","3410.533","1268.8089"
"SEN","08/03/2026","3","1404.8985","3.0739","24.9268","1207.8865","23918.925","294.5529","338.8985","1612.5282","1527.5628","3097.1355","1202.8167"
"SEN","08/03/2026","4","1093.2242","3.0175","24.7418","1206.4765","23333.375","288.6052","341.0586","1570.9426","1528.6758","2984.4088","1328.7403"
"SEN","08/03/2026","5","1005.2333","3.0267","23.0513","1164.4485","23134.4132","287.4818","341.1159","1402.0084","1530.2292","3027.8611","1342.9598"
